teacherSupportKey,teacherSupportValue,mathInterestKey,mathInterestValue,count,proportion
ST83Q01,Strongly agree,ST29Q06,Strongly disagree,5161,0.08967074971766137
ST83Q01,Strongly agree,ST29Q06,Disagree,12236,0.21259664668577882
ST83Q01,Strongly agree,ST29Q06,Agree,23842,0.41424724176874295
ST83Q01,Strongly agree,ST29Q06,Strongly agree,16316,0.28348536182781686
ST83Q02,Strongly disagree,ST29Q01,Strongly disagree,2959,0.5204009848751319
ST83Q02,Strongly disagree,ST29Q01,Disagree,1513,0.26609215617305665
ST83Q02,Strongly disagree,ST29Q01,Agree,784,0.13788251846640873
ST83Q02,Strongly disagree,ST29Q01,Strongly agree,430,0.07562434048540274
ST83Q02,Strongly disagree,ST29Q03,Strongly disagree,3055,0.5392762577228597
ST83Q02,Strongly disagree,ST29Q03,Disagree,1531,0.2702559576345984
ST83Q02,Strongly disagree,ST29Q03,Agree,708,0.12497793468667255
ST83Q02,Strongly disagree,ST29Q03,Strongly agree,371,0.06548984995586937
ST83Q02,Strongly disagree,ST29Q04,Strongly disagree,2725,0.48238626305540805
ST83Q02,Strongly disagree,ST29Q04,Disagree,1459,0.25827580102673037
ST83Q02,Strongly disagree,ST29Q04,Agree,951,0.16834838024429102
ST83Q02,Strongly disagree,ST29Q04,Strongly agree,514,0.09098955567357055
ST83Q02,Strongly disagree,ST29Q06,Strongly disagree,2138,0.37827317763623497
ST83Q02,Strongly disagree,ST29Q06,Disagree,1456,0.25760792639773533
ST83Q02,Strongly disagree,ST29Q06,Agree,1409,0.24929228591648975
ST83Q02,Strongly disagree,ST29Q06,Strongly agree,649,0.11482661004953999
ST83Q02,Disagree,ST29Q01,Strongly disagree,5805,0.3347364779148887
ST83Q02,Disagree,ST29Q01,Disagree,7238,0.41736823895744435
ST83Q02,Disagree,ST29Q01,Agree,3265,0.18827124899088918
ST83Q02,Disagree,ST29Q01,Strongly agree,1034,0.05962403413677776
ST83Q02,Disagree,ST29Q03,Strongly disagree,5650,0.32683519407647366
ST83Q02,Disagree,ST29Q03,Disagree,7295,0.42199340544918146
ST83Q02,Disagree,ST29Q03,Agree,3375,0.1952334123908139
ST83Q02,Disagree,ST29Q03,Strongly agree,967,0.055937988083530975
ST83Q02,Disagree,ST29Q04,Strongly disagree,5031,0.29109529595556327
ST83Q02,Disagree,ST29Q04,Disagree,6987,0.404270091997917
ST83Q02,Disagree,ST29Q04,Agree,3970,0.22970549094485912
ST83Q02,Disagree,ST29Q04,Strongly agree,1295,0.0749291211016606
ST83Q02,Disagree,ST29Q06,Strongly disagree,3476,0.20119233663251723
ST83Q02,Disagree,ST29Q06,Disagree,6291,0.3641257162701858
ST83Q02,Disagree,ST29Q06,Agree,5817,0.3366903976384789
ST83Q02,Disagree,ST29Q06,Strongly agree,1693,0.09799154945881808
ST83Q02,Agree,ST29Q01,Strongly disagree,14545,0.19929844754114084
ST83Q02,Agree,ST29Q01,Disagree,31363,0.42974198764061877
ST83Q02,Agree,ST29Q01,Agree,21862,0.2995574190542744
ST83Q02,Agree,ST29Q01,Strongly agree,5211,0.07140214576396596
ST83Q02,Agree,ST29Q03,Strongly disagree,12365,0.16985123422025028
ST83Q02,Agree,ST29Q03,Disagree,31052,0.42654432066374537
ST83Q02,Agree,ST29Q03,Agree,23810,0.3270649322106073
ST83Q02,Agree,ST29Q03,Strongly agree,5572,0.07653951290539705
ST83Q02,Agree,ST29Q04,Strongly disagree,11683,0.16050943162927445
ST83Q02,Agree,ST29Q04,Disagree,29344,0.40314891395441493
ST83Q02,Agree,ST29Q04,Agree,24960,0.342918378281836
ST83Q02,Agree,ST29Q04,Strongly agree,6800,0.09342327613447456
ST83Q02,Agree,ST29Q06,Strongly disagree,7267,0.09988454243065674
ST83Q02,Agree,ST29Q06,Disagree,22899,0.31474558099898287
ST83Q02,Agree,ST29Q06,Agree,33529,0.46085438601314016
ST83Q02,Agree,ST29Q06,Strongly agree,9059,0.12451549055722022
ST83Q02,Strongly agree,ST29Q01,Strongly disagree,10797,0.1787878787878788
ST83Q02,Strongly agree,ST29Q01,Disagree,20473,0.33901308163603244
ST83Q02,Strongly agree,ST29Q01,Agree,19917,0.32980625931445606
ST83Q02,Strongly agree,ST29Q01,Strongly agree,9203,0.15239278026163272
ST83Q02,Strongly agree,ST29Q03,Strongly disagree,7930,0.13162481119391836
ST83Q02,Strongly agree,ST29Q03,Disagree,18601,0.3087456636844988
ST83Q02,Strongly agree,ST29Q03,Agree,22178,0.36811791458495857
ST83Q02,Strongly agree,ST29Q03,Strongly agree,11538,0.19151161053662424
ST83Q02,Strongly agree,ST29Q04,Strongly disagree,8049,0.13374208663576093
ST83Q02,Strongly agree,ST29Q04,Disagree,18614,0.30928999883688085
ST83Q02,Strongly agree,ST29Q04,Agree,20577,0.3419071830915707
ST83Q02,Strongly agree,ST29Q04,Strongly agree,12943,0.21506073143578752
ST83Q02,Strongly agree,ST29Q06,Strongly disagree,4796,0.07967306797793873
ST83Q02,Strongly agree,ST29Q06,Disagree,12885,0.21405076749285668
ST83Q02,Strongly agree,ST29Q06,Agree,25681,0.4266230314306598
ST83Q02,Strongly agree,ST29Q06,Strongly agree,16834,0.2796531330985447
ST83Q03,Strongly disagree,ST29Q01,Strongly disagree,2412,0.5392354124748491
ST83Q03,Strongly disagree,ST29Q01,Disagree,1068,0.23876592890677398
ST83Q03,Strongly disagree,ST29Q01,Agree,624,0.13950368879946345
ST83Q03,Strongly disagree,ST29Q01,Strongly agree,369,0.08249496981891348
ST83Q03,Strongly disagree,ST29Q03,Strongly disagree,2509,0.5625560538116592
ST83Q03,Strongly disagree,ST29Q03,Disagree,1118,0.2506726457399103
ST83Q03,Strongly disagree,ST29Q03,Agree,516,0.11569506726457399
ST83Q03,Strongly disagree,ST29Q03,Strongly agree,317,0.0710762331838565
ST83Q03,Strongly disagree,ST29Q04,Strongly disagree,2276,0.511001347103727
ST83Q03,Strongly disagree,ST29Q04,Disagree,1031,0.23147732375392904
ST83Q03,Strongly disagree,ST29Q04,Agree,754,0.1692860350246969
ST83Q03,Strongly disagree,ST29Q04,Strongly agree,393,0.08823529411764706
ST83Q03,Strongly disagree,ST29Q06,Strongly disagree,1858,0.41799775028121483
ST83Q03,Strongly disagree,ST29Q06,Disagree,1093,0.24589426321709787
ST83Q03,Strongly disagree,ST29Q06,Agree,1000,0.2249718785151856
ST83Q03,Strongly disagree,ST29Q06,Strongly agree,494,0.11113610798650168
ST83Q03,Disagree,ST29Q01,Strongly disagree,5502,0.376385278423861
ST83Q03,Disagree,ST29Q01,Disagree,5724,0.3915720344780408
ST83Q03,Disagree,ST29Q01,Agree,2366,0.1618552469558079
ST83Q03,Disagree,ST29Q01,Strongly agree,1026,0.07018744014229032
ST83Q03,Disagree,ST29Q03,Strongly disagree,5239,0.3595991488777541
ST83Q03,Disagree,ST29Q03,Disagree,5969,0.4097055391584872
ST83Q03,Disagree,ST29Q03,Agree,2539,0.17427414372983732
ST83Q03,Disagree,ST29Q03,Strongly agree,822,0.05642116823392134
ST83Q03,Disagree,ST29Q04,Strongly disagree,4782,0.32841151019847536
ST83Q03,Disagree,ST29Q04,Disagree,5568,0.3823913192775221
ST83Q03,Disagree,ST29Q04,Agree,3115,0.21392761486161666
ST83Q03,Disagree,ST29Q04,Strongly agree,1096,0.07526955566238583
ST83Q03,Disagree,ST29Q06,Strongly disagree,3417,0.23468406593406593
ST83Q03,Disagree,ST29Q06,Disagree,5327,0.3658653846153846
ST83Q03,Disagree,ST29Q06,Agree,4497,0.3088598901098901
ST83Q03,Disagree,ST29Q06,Strongly agree,1319,0.09059065934065934
ST83Q03,Agree,ST29Q01,Strongly disagree,15772,0.20997976355309406
ST83Q03,Agree,ST29Q01,Disagree,33060,0.44014272020449463
ST83Q03,Agree,ST29Q01,Agree,21674,0.28855575673660666
ST83Q03,Agree,ST29Q01,Strongly agree,4606,0.061321759505804666
ST83Q03,Agree,ST29Q03,Strongly disagree,13546,0.18074346863074747
ST83Q03,Agree,ST29Q03,Disagree,32636,0.4354601980092333
ST83Q03,Agree,ST29Q03,Agree,23679,0.3159474821871748
ST83Q03,Agree,ST29Q03,Strongly agree,5085,0.06784885117284445
ST83Q03,Agree,ST29Q04,Strongly disagree,12638,0.16871812671882092
ST83Q03,Agree,ST29Q04,Disagree,30878,0.41222331989426747
ST83Q03,Agree,ST29Q04,Agree,24870,0.3320161268790217
ST83Q03,Agree,ST29Q04,Strongly agree,6520,0.08704242650788989
ST83Q03,Agree,ST29Q06,Strongly disagree,7866,0.10504246568025212
ST83Q03,Agree,ST29Q06,Disagree,24403,0.3258773569787939
ST83Q03,Agree,ST29Q06,Agree,34205,0.4567731424603387
ST83Q03,Agree,ST29Q06,Strongly agree,8410,0.11230703488061536
ST83Q03,Strongly agree,ST29Q01,Strongly disagree,10410,0.16757078698710623
ST83Q03,Strongly agree,ST29Q01,Disagree,20715,0.33345137871641745
ST83Q03,Strongly agree,ST29Q01,Agree,21144,0.34035703362683706
ST83Q03,Strongly agree,ST29Q01,Strongly agree,9854,0.15862080066963927
ST83Q03,Strongly agree,ST29Q03,Strongly disagree,7688,0.12408005164622336
ST83Q03,Strongly agree,ST29Q03,Disagree,18747,0.3025661717236927
ST83Q03,Strongly agree,ST29Q03,Agree,23313,0.3762588766946417
ST83Q03,Strongly agree,ST29Q03,Strongly agree,12212,0.1970948999354422
ST83Q03,Strongly agree,ST29Q04,Strongly disagree,7772,0.12552895952450172
ST83Q03,Strongly agree,ST29Q04,Disagree,18926,0.30568207513647966
ST83Q03,Strongly agree,ST29Q04,Agree,21685,0.350243886681526
ST83Q03,Strongly agree,ST29Q04,Strongly agree,13531,0.21854507865749265
ST83Q03,Strongly agree,ST29Q06,Strongly disagree,4525,0.07306046661822879
ST83Q03,Strongly agree,ST29Q06,Disagree,12709,0.20519899895051263
ST83Q03,Strongly agree,ST29Q06,Agree,26701,0.4311132639057076
ST83Q03,Strongly agree,ST29Q06,Strongly agree,18000,0.290627270525551
ST83Q04,Strongly disagree,ST29Q01,Strongly disagree,3828,0.47606019151846785
ST83Q04,Strongly disagree,ST29Q01,Disagree,2296,0.2855366247979107
ST83Q04,Strongly disagree,ST29Q01,Agree,1132,0.14077851013555528
ST83Q04,Strongly disagree,ST29Q01,Strongly agree,785,0.09762467354806616
ST83Q04,Strongly disagree,ST29Q03,Strongly disagree,3975,0.49625468164794007
ST83Q04,Strongly disagree,ST29Q03,Disagree,2402,0.2998751560549313
ST83Q04,Strongly disagree,ST29Q03,Agree,1078,0.13458177278401998
ST83Q04,Strongly disagree,ST29Q03,Strongly agree,555,0.06928838951310862
